high,low,open,close,first_volume,second_volume
7.73181935,7.64366106,7.7092382,7.64366106,156.1085297,20.30578733
7.68999818,7.63542,7.64,7.68999818,52.62395636,6.88413339
7.68999997,7.63542011,7.63643005,7.68999985,2.64346039,0.34393181
7.68999986,7.6384748,7.68999985,7.64000214,33.66635335,4.40704393
7.70637411,7.63542305,7.65000001,7.63720514,131.5489507,17.12658123
7.68215679,7.63830418,7.64458873,7.682,54.96835206,7.18059065
7.68199577,7.6,7.66434559,7.6,4318.109943,565.8256028
7.64604723,7.59,7.64604723,7.59,361.3589692,47.27535253
7.6578582,7.59,7.6578582,7.59,46.74375692,6.15834918
7.67541267,7.603513,7.6578443,7.61351589,381.1589776,49.83060189
7.62351838,7.59000341,7.62351838,7.59000341,358.0529864,47.01992175
7.66583732,7.61000338,7.61000338,7.66583732,6.00972199,0.78771914
7.66578709,7.56390503,7.66578709,7.56390503,243.1703392,31.94454643
7.64090165,7.56705398,7.58382534,7.64090043,2.18693512,0.28886769
7.63710767,7.56390502,7.63710767,7.56390502,124.5656424,16.35670211
7.60805283,7.5639077,7.56390771,7.56394507,4238.221397,560.305824
7.60000001,7.56395869,7.5639587,7.58,280.8884169,37.12865978
7.58000001,7.58,7.58000001,7.58000001,143.9219742,18.98706783
7.6150811,7.58,7.58000002,7.58,668.0378013,88.13151471
7.61813002,7.58,7.58000001,7.58032,76.74030912,10.11218177
7.62174445,7.58032,7.58032,7.62174445,8.58367115,1.13191021
7.65001485,7.5803275,7.58491937,7.6077853,111.2103693,14.57828703
7.70186706,7.58035199,7.585465,7.64680923,65.93968022,8.58886539
7.69999883,7.62002848,7.62002848,7.69999883,50.60177864,6.57610077
7.71732001,7.65000084,7.7,7.71732001,144.2675983,18.8282789
7.71864321,7.63225572,7.66229094,7.70098931,24.01451334,3.13778814
7.70098931,7.64861674,7.70098931,7.69429164,22.57157048,2.94270803
7.71146523,7.59891492,7.64861674,7.59891492,566.9064324,74.09713982
7.69345317,7.59892813,7.59892813,7.62886172,61.92541285,8.13068754
7.68154728,7.60933198,7.68154728,7.671793,1478.48224,192.8256762
7.75,7.671793,7.671793,7.68947569,2378.821456,307.6422127
7.7545,7.68948191,7.73992757,7.70200002,480.7763573,62.13028074
7.74999088,7.702,7.70754318,7.74999088,27.01888962,3.50772257
7.70200001,7.672787,7.70200001,7.68999882,27.55680985,3.58179123
7.70200001,7.6727894,7.69999959,7.70200001,1813.590677,235.4832212
7.70200001,7.6951,7.6951,7.6951,96.7682592,12.56761119
7.70200001,7.67471567,7.70200001,7.70200001,54.53797635,7.08116672
7.70200001,7.67179732,7.68763601,7.67179732,2248.739555,291.9707611
7.74810385,7.67179732,7.73981291,7.67179732,61.78722995,8.051419
7.71995295,7.63679,7.71995295,7.69678999,65.41500599,8.50716148
7.71985513,7.64979091,7.69678999,7.71981359,1053.067761,136.7762663
7.71980456,7.64979091,7.71980456,7.64979092,1726.184295,224.2600443
7.6634823,7.62497154,7.64979091,7.6317026,249.4016871,32.61439901
7.69942385,7.60933197,7.69818793,7.66523831,669.0495266,86.96500163
7.64836077,7.6,7.60000001,7.60000001,557.5562606,72.95812702
7.60000002,7.6,7.60000001,7.6,346.3847947,45.57694665
7.6375259,7.5921441,7.6,7.5921441,1124.892581,147.8881988
7.63521815,7.5921441,7.59214411,7.5921441,318.1698647,41.90742442
7.59214411,7.5921441,7.59214411,7.5921441,2569.018002,338.3784566
7.62535376,7.58003169,7.59214411,7.58003169,1045.945395,137.8254549
7.58003169,7.56395869,7.57032,7.58003169,379.1231232,50.05778253
7.62785443,7.564,7.56400002,7.62785082,158.1656341,20.7893945
7.6278396,7.564,7.6278396,7.564,1213.157468,159.4936085
7.6062993,7.56390771,7.564,7.57,617.6225627,81.65300805
7.63799918,7.56390771,7.6268338,7.57000001,95.19256494,12.51428118
7.694,7.57000083,7.62000001,7.69399773,1784.214039,234.653688
7.71710909,7.64,7.64000001,7.71710909,354.8166597,46.06364584
7.72,7.67,7.71710904,7.67,365.7998586,47.4061778
7.7545,7.67,7.67,7.7545,214.4215438,27.67864703
7.76499999,7.69,7.71861702,7.74553883,960.839408,123.965143
7.74553837,7.67,7.69000001,7.68,58.76246242,7.63703367
7.72258074,7.6702,7.71087202,7.6702,79.1065031,10.29345352
7.73628738,7.6702,7.68,7.6702,158.4564844,20.63861091
7.72535131,7.6500026,7.68,7.65000271,75.45409825,9.84567716
7.69688528,7.57284864,7.65219864,7.67,3312.661089,435.367351
7.69688528,7.63396769,7.63396769,7.69688526,63.4731592,8.30200043
7.69688528,7.63511934,7.63512879,7.64100001,285.8637268,37.24658568
7.69688528,7.64101113,7.69688527,7.69688528,94.99724355,12.41543489
7.69688526,7.65000001,7.69688526,7.65500001,15.07738414,1.96190582
7.68899998,7.68,7.68000001,7.68000001,50.28561043,6.54305177
7.689,7.68,7.68,7.68,2809.513221,365.8171026
7.689,7.65,7.68000001,7.689,1474.787541,192.7574655
7.74699999,7.65000255,7.689,7.74699888,244.6701864,31.78527675
7.74698954,7.66,7.70740497,7.66,691.9555894,89.35177882
7.74662693,7.66,7.66,7.71813726,192.7066123,25.11096655
7.74979614,7.66002898,7.7137841,7.74979612,504.5852756,65.72148721
7.74979604,7.7,7.74979603,7.70000002,30.08558175,3.89195463
7.73000002,7.65000117,7.70000003,7.65000117,108.5340703,14.09713182
7.72,7.65000001,7.66000001,7.71999295,10.65190697,1.3918755
7.71998688,7.65139355,7.65139355,7.65141212,21.21571736,2.75935555
7.7199762,7.65000002,7.7199762,7.687,184.0565724,23.95277689
7.70874103,7.65000006,7.65000007,7.70871589,49.38340177,6.44150641
7.71332475,7.65838835,7.70871145,7.65838851,15.63149041,2.0397944
7.71998773,7.65000001,7.65838883,7.65000002,799.123884,104.4303223
7.72292126,7.65543174,7.7,7.72292126,250.3291918,32.66502826
7.87257696,7.72292126,7.72578244,7.87257696,2759.263157,352.4414297
7.99,7.78354402,7.842,7.87857844,13185.08107,1656.944021
7.92839041,7.82623032,7.87857891,7.88051559,9609.963417,1223.448851
7.91999999,7.85058766,7.88051559,7.89,703.3039084,89.20680828
7.89,7.79777,7.89,7.79777,729.079386,92.56311493
7.85999997,7.79777,7.79777006,7.79777002,162.2911767,20.78494569
7.82879604,7.78628908,7.79777042,7.78628908,145.9754097,18.72013843
7.8,7.76842172,7.77775775,7.79,1180.020191,151.4537994
7.78999999,7.76842146,7.76971396,7.77000466,76.27151344,9.79841263
7.8299961,7.76841999,7.76842006,7.82997849,1551.980773,198.4007088
7.8,7.76841999,7.8,7.76841999,472.7106324,60.82290022
7.81395139,7.76254627,7.76841998,7.81,72.70441737,9.32946799
7.89,7.75709999,7.78331299,7.89,884.222609,113.206985
7.895,7.82552396,7.89,7.87520369,294.3867038,37.31216562
7.85246222,7.78843988,7.85246222,7.82195038,10.58461607,1.35684451
7.89399913,7.8149314,7.82803315,7.8149314,321.9389943,41.14667268
7.894,7.81827501,7.89399198,7.894,3961.242031,503.2697247
7.89399999,7.89399998,7.89399999,7.89399998,9.29438856,1.17739911
7.89399271,7.82000005,7.85051593,7.85674853,33.92775514,4.33411288
7.84552693,7.82600001,7.82600003,7.82700005,15.18262649,1.93941916
